COUNTRY_NAME_AR,MISSION_NAME_AR,STATION_NAME,STATION_ADDRESS,ROOM_SEQ,STATION_ROOM
دولة الإمارات العربية المتحدة,"سفارة لبنان لدى دولة الإمارات العربية المتحدة, ابو ظبي",السفارة اللبنانية في أبو ظبي,مبنى السفارة اللبنانية في أبو ظبي- شارع رشيد بن سعيد المكتوم - منطقة السفارات-صندوق بريد 4023,8,السفارة اللبنانية في أبو ظبي - غرفة رقم 8
استراليا,"قنصلية لبنان العامة في استراليا, سيدني",مطرانية الكاثوليك الملكيين,80 Waterloo Road Greenacre NSW 2190,43,مطرانية الكاثوليك الملكيين - غرفة رقم 5
كندا,"قنصلية لبنان لدى كندا, مونتريال",LEcole armenienne Sourp Hagop,"3400 Rue Nadon, Montreal, Quebec, H4J 1P6",70,LEcole armenienne Sourp Hagop - غرفة رقم 15
دولة الإمارات العربية المتحدة,مبنى دار السكن - بر دبي - ام هرير 1 شارع رقم 3,مركز انتخابي 2- دار السكن في قنصلية لبنان العامة دبي,مبنى القنصلية العامة في دبي- بر دبي - ام هرير 1 شارع رقم 3,47,مركز انتخابي 2- دار السكن في قنصلية لبنان العامة دبي غرفة رقم 12
مملكة السويد,"سفارة لبنان لدى مملكة السويد, ستوكهولم",COLOSSEUM,"Masugnsvagen 28, 168 67 Bromma, Stockholm, Sweden",4,COLOSSEUM - غرفة رقم 1
دولة قطر,"سفارة لبنان لدى دولة قطر, الدوحة",المدرسة اللبنانية في قطر,مبنى المدرسة اللبنانية - قطر- الدوحة - عنيزة رقم 63 - شارع الأمم المتحدة رقم 940 مبنى رقم 59,10,المدرسة اللبنانية في قطر - غرفة رقم 10
دولة الكويت,"سفارة لبنان لدى دولة الكويت, الكويت",السفارة اللبنانية في الكويت,مبنى السفارة اللبنانية في الكويت - الدعية - منطقة السفارات - قطعة 5 - شارع اليمن - مبنى رقم 6,10,السفارة اللبنانية في الكويت - غرفة رقم 10
كندا,"قنصلية لبنان لدى كندا, مونتريال",LEcole armenienne Sourp Hagop,"3400 Rue Nadon, Montreal, Quebec, H4J 1P6",67,LEcole armenienne Sourp Hagop - غرفة رقم 12
المملكة العربية السعودية,"قنصلية لبنان العامة في المملكة العربية السعودية, جدة",القنصلية العامة في جدة,3767 مبنى القنصلية العامة في جدة- شارع إبراهيم العنقري- حي المحمدية- جدة 23617,24,القنصلية العامة في جدة - غرفة رقم 4
رومانيا,"سفارة لبنان لدى رومانيا, بوخارست",السفارة اللبنانية في بوخارست,"18, Pitar Mos street, District 1, Bucharest - مبنى السفارة اللبنانية",1,السفارة اللبنانية في بوخارست - غرفة رقم 1
الإتحاد السويسري,"سفارة لبنان لدى الإتحاد السويسري, برن",Ferme Sarasin,"Chemin Edouard-Sarasin 47, 1218 Le Grand-Saconnex",1,Ferme Sarasin - غرفة رقم 1
دولة الإمارات العربية المتحدة,"سفارة لبنان لدى دولة الإمارات العربية المتحدة, ابو ظبي",السفارة اللبنانية في أبو ظبي,مبنى السفارة اللبنانية في أبو ظبي- شارع رشيد بن سعيد المكتوم - منطقة السفارات-صندوق بريد 4023,12,السفارة اللبنانية في أبو ظبي - غرفة رقم 12
المملكة العربية السعودية,"سفارة لبنان لدى المملكة العربية السعودية, الرياض",السفارة اللبنانية في الرياض,مبنى السفارة اللبنانية في الرياض-  حي السفارات - شارع ابي بكر الكرخى,18,السفارة اللبنانية في الرياض - غرفة رقم 18
